,0,1,2,Xt
165,6750.0,7300.0,6575.0,6100.0
166,7300.0,6575.0,6100.0,5300.0
167,6575.0,6100.0,5300.0,5500.0
168,6100.0,5300.0,5500.0,5525.0
169,5300.0,5500.0,5525.0,4875.0
170,5500.0,5525.0,4875.0,5175.0
171,5525.0,4875.0,5175.0,6200.0
172,4875.0,5175.0,6200.0,7050.0
173,5175.0,6200.0,7050.0,7225.0
174,6200.0,7050.0,7225.0,7125.0
175,7050.0,7225.0,7125.0,6925.0
176,7225.0,7125.0,6925.0,7250.0
177,7125.0,6925.0,7250.0,8325.0
178,6925.0,7250.0,8325.0,7925.0
179,7250.0,8325.0,7925.0,8700.0
180,8325.0,7925.0,8700.0,8500.0
181,7925.0,8700.0,8500.0,7575.0
182,8700.0,8500.0,7575.0,7925.0
183,8500.0,7575.0,7925.0,7925.0
184,7575.0,7925.0,7925.0,8125.0
185,7925.0,7925.0,8125.0,8000.0
186,7925.0,8125.0,8000.0,8375.0
187,8125.0,8000.0,8375.0,8750.0
188,8000.0,8375.0,8750.0,8600.0
189,8375.0,8750.0,8600.0,8375.0
190,8750.0,8600.0,8375.0,8375.0
191,8600.0,8375.0,8375.0,8425.0
192,8375.0,8375.0,8425.0,8200.0
193,8375.0,8425.0,8200.0,7325.0
194,8425.0,8200.0,7325.0,7625.0
195,8200.0,7325.0,7625.0,7750.0
196,7325.0,7625.0,7750.0,7575.0
197,7625.0,7750.0,7575.0,7200.0
198,7750.0,7575.0,7200.0,6975.0
199,7575.0,7200.0,6975.0,7075.0
200,7200.0,6975.0,7075.0,6650.0
201,6975.0,7075.0,6650.0,6350.0
202,7075.0,6650.0,6350.0,6375.0
203,6650.0,6350.0,6375.0,5900.0
204,6350.0,6375.0,5900.0,5975.0
205,6375.0,5900.0,5975.0,6600.0
206,5900.0,5975.0,6600.0,7450.0
207,5975.0,6600.0,7450.0,7750.0
208,6600.0,7450.0,7750.0,7075.0
209,7450.0,7750.0,7075.0,6425.0
210,7750.0,7075.0,6425.0,6950.0
211,7075.0,6425.0,6950.0,6600.0
212,6425.0,6950.0,6600.0,7025.0
213,6950.0,6600.0,7025.0,7075.0
214,6600.0,7025.0,7075.0,7925.0
215,7025.0,7075.0,7925.0,7700.0
216,7075.0,7925.0,7700.0,7700.0
217,7925.0,7700.0,7700.0,7950.0
218,7700.0,7700.0,7950.0,7925.0
219,7700.0,7950.0,7925.0,7825.0
220,7950.0,7925.0,7825.0,6500.0
221,7925.0,7825.0,6500.0,6350.0
222,7825.0,6500.0,6350.0,6525.0
223,6500.0,6350.0,6525.0,5750.0
224,6350.0,6525.0,5750.0,6525.0
225,6525.0,5750.0,6525.0,6450.0
226,5750.0,6525.0,6450.0,7625.0
227,6525.0,6450.0,7625.0,7150.0
228,6450.0,7625.0,7150.0,7000.0
229,7625.0,7150.0,7000.0,7100.0
230,7150.0,7000.0,7100.0,6850.0
231,7000.0,7100.0,6850.0,6050.0
232,7100.0,6850.0,6050.0,6050.0
233,6850.0,6050.0,6050.0,6600.0
234,6050.0,6050.0,6600.0,6525.0
235,6050.0,6600.0,6525.0,6350.0
236,6600.0,6525.0,6350.0,6175.0
237,6525.0,6350.0,6175.0,6075.0
238,6350.0,6175.0,6075.0,6175.0
239,6175.0,6075.0,6175.0,6350.0
240,6075.0,6175.0,6350.0,6350.0
241,6175.0,6350.0,6350.0,6300.0
242,6350.0,6350.0,6300.0,6325.0
243,6350.0,6300.0,6325.0,6325.0
244,6300.0,6325.0,6325.0,6200.0
245,6325.0,6325.0,6200.0,5950.0
246,6325.0,6200.0,5950.0,6300.0
247,6200.0,5950.0,6300.0,6600.0
248,5950.0,6300.0,6600.0,7050.0
249,6300.0,6600.0,7050.0,6800.0
250,6600.0,7050.0,6800.0,6225.0
251,7050.0,6800.0,6225.0,6025.0
252,6800.0,6225.0,6025.0,6450.0
253,6225.0,6025.0,6450.0,6450.0
254,6025.0,6450.0,6450.0,6725.0
255,6450.0,6450.0,6725.0,6725.0
256,6450.0,6725.0,6725.0,6475.0
257,6725.0,6725.0,6475.0,6200.0
258,6725.0,6475.0,6200.0,6450.0
259,6475.0,6200.0,6450.0,7100.0
260,6200.0,6450.0,7100.0,7350.0
261,6450.0,7100.0,7350.0,7425.0
